academic_mobility_radius,Satisfaction_threshold,Base_Salary,Sch_Quality_Variation,total_teachers,teacher_turnover_rate,mean_school_vacancy_rate,satisfaction_inequality,mean_satisfaction_poor_schools,mean_satisfaction_good_schools,unemployment_rate,mean_satisfaction-all
5,0.1,1000,0.3,858,0.4682352941176471,0.9806666666666666,0.26271308683063166,0.16678456591639898,0.8354973821989535,0.006993006993006993,0.45444444444444554
5,0.1,1000,0.3,856,0.4788235294117647,0.9553333333333333,0.27388903947374355,0.14981944444444437,0.8380303030303057,0.004672897196261682,0.5148239436619713
5,0.1,1000,0.3,864,0.4976470588235294,0.9619999999999999,0.26599381035468483,0.1537878787878788,0.8019188191881952,0.004629629629629629,0.5276782945736459
5,0.1,1000,0.3,869,0.4647058823529412,0.954,0.2702774627529833,0.15431129476584007,0.8394377510040176,0.004602991944764097,0.506023121387285
5,0.1,1000,0.3,854,0.5152941176470588,0.9473333333333332,0.28008372518420716,0.113769063180828,0.8335083532219606,0.00351288056206089,0.6032393262828069
5,0.1,1000,0.3,826,0.4929411764705882,0.9593333333333334,0.2663574896011733,0.1139763113367173,0.8043032786885264,0.004842615012106538,0.5249188969991895
5,0.1,1000,0.3,830,0.5011764705882353,0.9473333333333337,0.29528834424517614,0.12293478260869546,0.867764350453174,0.0036144578313253013,0.5691938734381315
5,0.1,1000,0.3,851,0.4929411764705882,0.9680000000000001,0.276917343498061,0.15603686635944672,0.8400937500000024,0.004700352526439483,0.5396969696969729
5,0.1,1000,0.3,878,0.4776470588235294,0.9520000000000001,0.28009569042847304,0.16284444444444446,0.8339107611548605,0.004555808656036446,0.5674637681159449
5,0.1,1000,0.3,872,0.4505882352941176,0.9853333333333334,0.2933457039584365,0.17025270758122762,0.8627208480565385,0.005733944954128441,0.5177893118031538
5,0.1,1000,0.3,852,0.4752941176470588,0.9426666666666665,0.2806258895843471,0.16707275803722507,0.833631840796022,0.0035211267605633804,0.582952493129173
5,0.1,1000,0.3,846,0.4611764705882353,0.9753333333333333,0.2795024739855851,0.14583333333333331,0.8444280442804447,0.004728132387706856,0.5196832937450531
5,0.1,1000,0.3,859,0.4588235294117647,0.9733333333333334,0.29943583274686736,0.12910818713450267,0.8483195592286527,0.004656577415599534,0.5545380116959064
5,0.1,1000,0.3,850,0.4752941176470588,0.9720000000000001,0.28840686491631945,0.17774425287356319,0.8428871391076165,0.004705882352941176,0.5681323877068597
5,0.1,1000,0.3,855,0.4788235294117647,0.9586666666666666,0.26191308000820107,0.1503433476394848,0.811764705882355,0.004678362573099415,0.5217430473952238
5,0.1,1000,0.3,869,0.4717647058823529,0.9533333333333334,0.2799366149736605,0.15132996632996631,0.8469754768392413,0.004602991944764097,0.571387283236997
5,0.1,1000,0.3,918,0.4823529411764706,0.9626666666666666,0.27002116214777283,0.13265765765765733,0.8082018927444816,0.004357298474945534,0.5423851203501109
5,0.1,1000,0.3,850,0.5035294117647059,0.9653333333333334,0.29857244818168394,0.14189855072463747,0.8657382550335602,0.004705882352941176,0.5485539795114277
5,0.1,1000,0.3,849,0.48470588235294115,0.9479999999999997,0.2671697695377048,0.13054112554112568,0.8371128608923916,0.0035335689045936395,0.6014263199369612
5,0.1,1000,0.3,868,0.46941176470588236,0.9853333333333336,0.3238641672769926,0.13055330634277965,0.8614352941176494,0.004608294930875576,0.5856327160493834
5,0.1,1000,0.3,851,0.4835294117647059,0.9580000000000001,0.2729526333626886,0.10701851851851851,0.8219141914191446,0.0035252643948296123,0.5497051886792468
5,0.1,1000,0.3,869,0.4470588235294118,0.9433333333333331,0.27650574091656704,0.12315476190476185,0.881468531468533,0.0034522439585730723,0.5565434949961533
5,0.1,1000,0.3,888,0.4505882352941176,0.9740000000000003,0.3050238864982259,0.16973372781065135,0.8239617486338842,0.006756756756756757,0.5184391534391556
5,0.1,1000,0.3,852,0.5047058823529412,0.9593333333333334,0.26562584788575105,0.15896086369770598,0.8291739130434789,0.004694835680751174,0.4943632075471715
5,0.1,1000,0.5,852,0.4752941176470588,0.8866666666666667,0.1729342572452792,0,0.8349176954732531,0,0.6997261345852918
5,0.1,1000,0.5,866,0.48470588235294115,0.8880000000000003,0.1512199000143354,0,0.8137196765498693,0,0.6608429561200944
5,0.1,1000,0.5,860,0.4858823529411765,0.8886666666666667,0.15500382410444083,0,0.8302688172043051,0,0.6653333333333359
5,0.1,1000,0.5,869,0.5176470588235295,0.8866666666666668,0.17013209077791944,0,0.8353238866396789,0,0.7006214039125469
5,0.1,1000,0.5,840,0.4752941176470588,0.8880000000000001,0.1660117764796723,0,0.8388282828282877,0,0.7103293650793671
5,0.1,1000,0.5,869,0.46941176470588236,0.8866666666666667,0.1717795515347698,0,0.8434459459459456,0,0.6908707326428851
5,0.1,1000,0.5,843,0.4776470588235294,0.8873333333333335,0.16473765429808185,0,0.8286330935251848,0,0.6839501779359466
