percent.best.land,metabolism.max,max.vision,grain.growth.interval,gini
10,15,8,4,0.234707131035475
10,15,8,5,0.218636669824229
10,15,8,6,0.234660715156837
10,15,8,7,0.208230761096571
10,15,8,8,0.194840823217301
10,15,8,9,0.200900358290092
10,15,8,10,0.201298832324435
10,15,10,1,0.259294341391307
10,15,10,2,0.233032232100392
10,15,10,3,0.235818091844814
10,15,10,4,0.229190501009838
10,15,10,5,0.241345958312151
10,15,10,6,0.230813135171424
10,15,10,7,0.205493512696012
10,15,10,8,0.210579036348267
10,15,10,9,0.210549202719014
10,15,10,10,0.212429964272597
10,15,12,1,0.245913797851832
10,15,12,2,0.22768179328138
10,15,12,3,0.234497498024756
10,15,12,4,0.241895068687628
10,15,12,5,0.224074373200365
10,15,12,6,0.225424060223884
10,15,12,7,0.210179187044015
10,15,12,8,0.210583428935628
10,15,12,9,0.227656208098686
10,15,12,10,0.223082229018009
10,15,14,1,0.234144117256931
10,15,14,2,0.237582554697928
10,15,14,3,0.218360354398735
10,15,14,4,0.208973738311559
10,15,14,5,0.226534056044181
10,15,14,6,0.213621600621601
10,15,14,7,0.215834559108152
10,15,14,8,0.204176936747954
10,15,14,9,0.212097605893186
10,15,14,10,0.211304185714749
15,10,4,1,0.246265806451613
15,10,4,2,0.255009601824347
15,10,4,3,0.232803571428572
15,10,4,4,0.247801023001652
15,10,4,5,0.248682701281072
15,10,4,6,0.248709987622584
15,10,4,7,0.235797607178465
15,10,4,8,0.22650926322808
15,10,4,9,0.22651283558691
15,10,4,10,0.232559136605559
15,10,6,1,0.238401629855998
15,10,6,2,0.226765239715804
15,10,6,3,0.240988434269418
15,10,6,4,0.240433742079592
15,10,6,5,0.230069090497225
15,10,6,6,0.215906184395524
15,10,6,7,0.233036202185792
15,10,6,8,0.246777886317846
15,10,6,9,0.215606774738747
15,10,6,10,0.224978606965174
15,10,8,2,0.222629548110106
15,10,8,1,0.247754048616379
15,10,8,3,0.237052132570418
15,10,8,4,0.242862552176506
15,10,8,5,0.240565343049086
15,10,8,6,0.224473988439306
15,10,8,7,0.230682860459363
15,10,8,8,0.234218542732613
15,10,8,9,0.240426789600018
15,10,8,10,0.238576111857177
15,10,10,1,0.23131850741296
15,10,10,2,0.230222162978761
15,10,10,3,0.220127059416604
15,10,10,4,0.231413242606648
15,10,10,5,0.240280375450263
15,10,10,6,0.246037915914367
15,10,10,7,0.22235145485412
15,10,10,8,0.228043291108105
15,10,10,9,0.230240171787248
15,10,10,10,0.227420291007394
15,10,12,1,0.233130680352074
15,10,12,3,0.222421143378749
15,10,12,2,0.230281577209697
15,10,12,4,0.224241996828204
15,10,12,5,0.218254121957603
15,10,12,6,0.227458684206155
15,10,12,7,0.229630563514804
15,10,12,8,0.231139989264627
15,10,12,9,0.221821858077221
15,10,12,10,0.221732298169788
15,10,14,1,0.23149597608246
15,10,14,2,0.234375599776435
15,10,14,3,0.226883880588616
15,10,14,4,0.230930938888662
15,10,14,5,0.236377147838803
15,10,14,6,0.236341071911327
15,10,14,7,0.234084158911238
15,10,14,8,0.207680513734407
15,10,14,9,0.212644268053465
15,10,14,10,0.215600724075511
15,15,4,1,0.263943453932506
15,15,4,2,0.245782919467437
15,15,4,3,0.238848480529558
15,15,4,4,0.254969209211424
15,15,4,5,0.239565314410675
15,15,4,6,0.238427456685624
15,15,4,7,0.235676973220578
15,15,4,8,0.227955477890898
15,15,4,9,0.233316914796435
15,15,4,10,0.235674839940063
15,15,6,2,0.235270716737158
15,15,6,1,0.23661699112093
15,15,6,3,0.261994219653179
15,15,6,4,0.240192874200352
15,15,6,5,0.23837181682594
15,15,6,6,0.238647353063777
15,15,6,7,0.237425390617042
15,15,6,8,0.23938033417478
15,15,6,9,0.214472603821254
15,15,6,10,0.226141068849302
15,15,8,1,0.253027003282934
15,15,8,2,0.264099547928776
15,15,8,3,0.259635122776139
15,15,8,4,0.235378516624041
15,15,8,5,0.252855600465091
15,15,8,6,0.232277076488558
15,15,8,7,0.226149309309309
15,15,8,8,0.23643430335097
15,15,8,9,0.216784618725738
15,15,8,10,0.226524562394127
15,15,10,2,0.23450859440877
15,15,10,1,0.242818838378725
15,15,10,3,0.250801851320125
15,15,10,4,0.2457385117798
15,15,10,5,0.248558584686775
15,15,10,6,0.230457623857624
15,15,10,7,0.251326345128454
15,15,10,8,0.243055133874552
15,15,10,9,0.219838997348759
15,15,10,10,0.231676353544874
15,15,12,1,0.24176329461597
15,15,12,2,0.252992661401427
15,15,12,3,0.249244285377637
15,15,12,4,0.235319615912209
15,15,12,5,0.249097831514373
15,15,12,6,0.234323898501852
15,15,12,8,0.224051570079142
15,15,12,7,0.223105761806382
15,15,12,9,0.227058310664714
15,15,12,10,0.243490438084905
15,15,14,1,0.25222460658083
15,15,14,2,0.2437953148256
15,15,14,3,0.251865649108505
15,15,14,4,0.239994025200042
15,15,14,5,0.245568266073509
15,15,14,6,0.238238751446759
15,15,14,7,0.23144717238485
15,15,14,8,0.228527414486921
15,15,14,9,0.227122725486116
20,10,4,1,0.27846924916308
15,15,14,10,0.219290399522958
20,10,4,2,0.26017984317675
20,10,4,3,0.245505090467901
20,10,4,4,0.23788985132842
20,10,4,5,0.258395953302496
20,10,4,6,0.24519654826787
20,10,4,7,0.242420261473463
20,10,4,8,0.227911961646658
20,10,4,9,0.242982823117958
20,10,4,10,0.233960252756236
20,10,6,1,0.242863213102531
20,10,6,2,0.239132336412061
20,10,6,3,0.22811061539551
20,10,6,4,0.246934013404297
20,10,6,5,0.23424953900253
20,10,6,6,0.202357163292439
20,10,6,7,0.229516821488954
20,10,6,8,0.230864491796374
20,10,6,9,0.242733527511716
20,10,6,10,0.238931552780668
20,10,8,1,0.234243949138397
20,10,8,2,0.226471580609846
20,10,8,3,0.233700793947708
20,10,8,4,0.232494271608438
20,10,8,5,0.234944959517789
20,10,8,6,0.245288991196188
20,10,8,7,0.239128241507054
20,10,8,8,0.215790796487035
20,10,8,9,0.229332498106171
20,10,8,10,0.231182006399398
20,10,10,1,0.215656373267215
20,10,10,2,0.229454546092276
20,10,10,3,0.233887190086545
20,10,10,4,0.245336008024072
20,10,10,5,0.242757210392756
20,10,10,6,0.237894664046007
20,10,10,8,0.234526387488279
20,10,10,7,0.236687553001036
20,10,10,9,0.21207922993837
20,10,10,10,0.223906000290571
20,10,12,1,0.221118587649712
20,10,12,2,0.222585718829517
20,10,12,3,0.231879562043796
20,10,12,4,0.23307689945335
20,10,12,5,0.224961889668704
20,10,12,6,0.217806788090164
20,10,12,8,0.220145787371057
20,10,12,7,0.231554908928602
20,10,12,9,0.217949361727872
20,10,12,10,0.228140284932015
20,10,14,1,0.228546342714899
20,10,14,2,0.220650680849796
20,10,14,3,0.232377264796672
20,10,14,4,0.224735653767912
20,10,14,5,0.228632630011808
20,10,14,6,0.2227427400677
20,10,14,7,0.229036528712487
20,10,14,8,0.214060534374943
20,10,14,9,0.230839812115322
20,10,14,10,0.230263806706114
20,15,4,1,0.261186713592345
20,15,4,3,0.269060529468294
20,15,4,2,0.257224083663316
20,15,4,4,0.259663990987185
20,15,4,5,0.256614682899017
20,15,4,6,0.257493819530284
20,15,4,7,0.254517902343826
20,15,4,8,0.253431856006904
20,15,4,9,0.222322992778704
20,15,4,10,0.250330579546877
20,15,6,1,0.262150607104767
20,15,6,2,0.25495084939374
20,15,6,3,0.252438483003551
20,15,6,4,0.249023747965144
20,15,6,5,0.255157370248455
20,15,6,6,0.228325100989796
20,15,6,7,0.255207827260459
20,15,6,8,0.234805361067682
20,15,6,9,0.225551552041792
20,15,6,10,0.247840494791667
20,15,8,1,0.241307011698504
20,15,8,2,0.240501114500837
20,15,8,3,0.250863818778813
20,15,8,5,0.238503451566251
20,15,8,4,0.262108740254411
20,15,8,6,0.258089507551321
20,15,8,7,0.239288094322696
20,15,8,8,0.234934142045
20,15,8,9,0.237499011713792
20,15,8,10,0.231760593987686
20,15,10,1,0.216941961427144
20,15,10,2,0.241363924818486
20,15,10,3,0.252589307006248
20,15,10,5,0.231970286752303
20,15,10,4,0.237632906335056
20,15,10,6,0.235891382868937
20,15,10,7,0.232117183236418
20,15,10,8,0.235998907820009
20,15,10,9,0.234991139036572
20,15,10,10,0.219220908792402
20,15,12,1,0.243100811237875
20,15,12,2,0.246628379643249
20,15,12,3,0.245152294869258
20,15,12,4,0.25336207002646
20,15,12,5,0.255560273703014
20,15,12,6,0.239661780275267
20,15,12,7,0.230817154959407
20,15,12,8,0.239214532871972
20,15,12,9,0.211111536231884
20,15,12,10,0.241256666177406
20,15,14,1,0.247515233101885
20,15,14,2,0.240516194066976
20,15,14,3,0.250411978475086
20,15,14,4,0.237789158657899
20,15,14,5,0.241508661553047
20,15,14,6,0.233492458062771
20,15,14,7,0.215861431739353
20,15,14,8,0.223248652319708
20,15,14,9,0.226411125534882
20,15,14,10,0.237098369827827
