percent-grammar-1,logistic?,alpha,gamma,mean_state,nodes _09
55,true,0.04,0.02,0.6400403641317348,0.36
55,true,0.04,0.02,0.6372865954162171,0.32
55,true,0.04,0.02,0.6370369398182859,0.32
55,true,0.04,0.02,0.6424112677851239,0.36
55,true,0.04,0.02,0.6491225982421617,0.39
55,true,0.04,0.02,0.6356462816929147,0.34
55,true,0.04,0.02,0.650923228704194,0.32
55,true,0.04,0.02,0.6425674244915472,0.26
55,true,0.04,0.02,0.6211061354425081,0.27
55,true,0.04,0.02,0.6386289021624191,0.39
55,true,0.04,0.02,0.6392241897870096,0.29
55,true,0.04,0.02,0.641524896722771,0.32
55,true,0.04,0.02,0.6476575493183657,0.38
55,true,0.04,0.02,0.6245568672371392,0.31
55,true,0.04,0.02,0.6316048697624038,0.31
55,true,0.04,0.03,0.7020796192587365,0.4
55,true,0.04,0.03,0.7123999107135106,0.38
55,true,0.04,0.03,0.7079489773633355,0.34
55,true,0.04,0.02,0.630737256876528,0.33
55,true,0.04,0.03,0.7102897799290332,0.33
55,true,0.04,0.03,0.7133065891734437,0.4
55,true,0.04,0.03,0.7085210105216015,0.39
55,true,0.04,0.03,0.7067904671565775,0.41
55,true,0.04,0.03,0.7050019890478901,0.4
55,true,0.04,0.03,0.6867777304099072,0.44
55,true,0.04,0.03,0.728670864048365,0.39
55,true,0.04,0.03,0.6941804540991012,0.37
55,true,0.04,0.03,0.7138018719840126,0.35
55,true,0.04,0.03,0.6968338581329695,0.36
55,true,0.04,0.03,0.6982558723055967,0.3
55,true,0.04,0.03,0.7115856929436255,0.37
55,true,0.04,0.03,0.6775627692311859,0.38
55,true,0.04,0.03,0.6942276862724741,0.37
55,true,0.04,0.03,0.6659393762320627,0.39
55,true,0.04,0.03,0.7087649476380038,0.39
55,true,0.04,0.03,0.6739010755549518,0.41
55,true,0.04,0.04,0.7678728196348635,0.41
55,true,0.04,0.04,0.7557857964800813,0.47
55,true,0.04,0.04,0.7551199050636217,0.42
55,true,0.04,0.04,0.746163178335695,0.44
55,true,0.04,0.04,0.7757589273082272,0.49
55,true,0.04,0.04,0.7343481348053484,0.46
55,true,0.04,0.04,0.7468285931251323,0.41
55,true,0.04,0.04,0.7600538632779203,0.47
55,true,0.04,0.04,0.7477952023520479,0.43
55,true,0.04,0.04,0.7682799131985181,0.44
