school-transportation-cost,traffic-lights?,high-income-percentage,with-school-choice?,alpha,D-segregation,delta-Achievement
10,true,20,false,0.3,0.19840650693294976,0.0220946775590507
10,true,20,false,0.3,0.19572522856436866,0.018532945863484862
10,true,20,false,0.3,0.18216313525465622,0.003965476528826173
10,true,20,false,0.3,0.1947741095712559,-0.06664996573063053
10,true,20,false,0.3,0.1921779464473961,-0.048115943238474124
10,true,20,false,0.3,0.1662960217445021,0.06121020182171932
10,true,20,false,0.3,0.15971128306400592,0.02672159494834503
10,true,20,false,0.3,0.17976277224516238,0.01994730629200081
10,true,20,false,0.3,0.19759229808991258,-0.006049679645058426
10,true,20,false,0.3,0.15558582550226013,-0.0669001125856239
10,true,20,false,0.3,0.17775657616028423,-0.057918295960452504
10,true,20,false,0.3,0.1829017829017829,0.00963039056635484
10,true,20,false,0.3,0.1885309586421229,-0.10549973113742706
10,true,20,false,0.3,0.16949825443051927,0.04594942167909899
10,true,20,false,0.3,0.20198838654589824,-0.09944423460669771
10,true,20,false,0.3,0.19010570824524303,-0.050749947989874755
10,true,20,false,0.3,0.21176281496718255,0.05772362372596618
10,true,20,false,0.4,0.18405511080468337,0.0030879945766653094
10,true,20,false,0.4,0.1915514558289541,0.018356898501320273
10,true,20,false,0.4,0.17864410739426886,-0.0859613083594839
10,true,20,false,0.4,0.17899712971174264,-0.02280836117379259
10,true,20,false,0.4,0.18748306293186817,0.04759652132016523
10,true,20,false,0.4,0.20261422873705187,0.03646428978024474
10,true,20,false,0.4,0.17977581457205283,0.036667072480572216
10,true,20,false,0.4,0.19923230974632855,-0.05171398278504924
10,true,20,false,0.4,0.15949334279166213,-0.060927646099016464
10,true,20,false,0.4,0.16262156448202955,-0.03376621846675576
10,true,20,false,0.4,0.18604440720266482,-0.007876760970552787
10,true,20,false,0.4,0.157206754738194,-0.056044278346857546
10,true,20,false,0.4,0.19567779008165292,-0.08348411935686162
10,true,20,false,0.4,0.18830283310190468,-0.0025122462016193836
10,true,20,false,0.4,0.1965120545638988,-0.03802008556367831
10,true,20,false,0.4,0.1875775906241296,-0.0861431844052376
10,true,20,false,0.4,0.19097387251254594,-0.0187289432188944
10,true,20,false,0.4,0.16126692109359103,-0.09233375707122349
10,true,20,false,0.4,0.20160913816178536,0.10620998842341489
10,true,20,false,0.4,0.16670607669163012,-0.0018243409201081917
10,true,20,false,0.4,0.19499197132950133,0.03273542991197331
10,true,20,false,0.4,0.17423419356368647,-0.024319435639077902
10,true,20,false,0.4,0.18011485440585728,-0.07857754547044937
10,true,20,false,0.4,0.16212447206948763,0.01593449261476021
10,true,20,false,0.4,0.1857610815418245,-0.02695896742215176
10,true,20,false,0.4,0.1607824948161083,0.047827087638246724
10,true,20,false,0.4,0.20598863117001828,0.035405369131880526
10,true,20,false,0.4,0.18188486008727509,-0.056884100194377396
10,true,20,false,0.4,0.1706324089051425,-0.043514760120725526
10,true,20,false,0.4,0.15820769476280763,0.0168559360867917
10,true,20,false,0.5,0.20624854696597786,-0.07549033357514112
10,true,20,false,0.5,0.18440652094752674,-0.07540684757490368
10,true,20,false,0.5,0.1732562098291201,-0.008669427406621466
10,true,20,false,0.5,0.1798423423423424,-0.012636158508087192
10,true,20,false,0.5,0.1764264682107427,-0.09201190681092353
10,true,20,false,0.5,0.19345742129213678,0.07875315635964064
10,true,20,false,0.5,0.16577711885347166,0.008542413752136824
10,true,20,false,0.5,0.18002201549718322,-0.09487337690678377
10,true,20,false,0.5,0.19822950511735227,-0.05297310676889211
10,true,20,false,0.5,0.18387267797702145,0.029258535690561693
10,true,20,false,0.5,0.1755069062239153,0.03150763838735049
10,true,20,false,0.5,0.18962698895748203,-0.02935399244978587
10,true,20,false,0.5,0.1874214465265082,0.06030620357897831
10,true,20,false,0.5,0.17378899644142884,-0.013459764247711448
10,true,20,false,0.5,0.20928519487387728,0.12269611843668926
10,true,20,false,0.5,0.2025763549580845,-0.042240975249056234
10,true,20,false,0.5,0.18133548816691164,0.004633454729521702
10,true,20,false,0.5,0.20239741816505305,-0.054245294227778906
