academic-mobility-radius,Satisfaction_threshold,Base_Salary,Sch_Quality_Variation,total-teachers,teacher-turnover-rate,mean-school-vacancy-rate,satisfaction-inequality,mean-satisfaction-poor-schools,mean-satisfaction-good-schools,unemployment-rate,mean-satisfaction-all
5,0.1,20000,0.1,859,0.46352941176470586,0.9646666666666666,0.20446761955892717,0.33826086956521717,0.7674751773049605,0.0034924330616996507,0.6006814641744516
5,0.1,20000,0.3,857,0.47294117647058825,0.9746666666666666,0.2761499565830021,0.13643971631205645,0.8390196078431384,0.004667444574095682,0.5085775693630343
5,0.1,20000,0.1,864,0.48,0.9706666666666667,0.1924166658248535,0.2944176706827309,0.7444407158836707,0.005787037037037037,0.5341482343810606
5,0.1,20000,0.3,900,0.46705882352941175,0.9566666666666669,0.30725543112844067,0.1446240601503761,0.8405569007263958,0.005555555555555556,0.5517802607076364
5,0.1,20000,0.3,882,0.4776470588235294,0.9753333333333336,0.25062245999786836,0.16778563015312137,0.8017351598173528,0.005668934240362812,0.4804370961611582
5,0.1,20000,0.3,840,0.49529411764705883,0.9493333333333331,0.27771886452027694,0.13957610789980723,0.8608408408408437,0.0035714285714285713,0.5740223018717645
5,0.1,20000,0.3,889,0.44823529411764707,0.9573333333333335,0.277195604896478,0.1450467289719623,0.833293768545996,0.0044994375703037125,0.5531676082862516
5,0.1,20000,0.3,880,0.4752941176470588,0.9680000000000005,0.2923944370002802,0.1309446693657218,0.8363141025641048,0.005681818181818182,0.5225600000000008
5,0.1,20000,0.3,870,0.42705882352941177,0.9526666666666667,0.28481916637498544,0.12006172839506185,0.854576719576723,0.0034482758620689655,0.5862975778546747
5,0.1,20000,0.3,863,0.5094117647058823,1.0106666666666666,0.29364129130214095,0.1507387387387389,0.8264035087719311,0.008111239860950173,0.442795950155764
5,0.1,20000,0.3,866,0.48470588235294115,0.9560000000000002,0.29600278957402043,0.1407407407407405,0.8430310880829048,0.004618937644341801,0.5691956689868531
5,0.1,20000,0.3,862,0.49058823529411766,0.9760000000000001,0.31677932257758634,0.15022140221402236,0.8674285714285738,0.00580046403712297,0.5427382341501386
5,0.1,20000,0.5,865,0.49176470588235294,0.8873333333333335,0.16788053798075533,0,0.8466442953020179,0,0.633707129094414
5,0.1,20000,0.5,870,0.4364705882352941,0.8866666666666667,0.1914287724843299,0,0.8689195402298886,0,0.6876551724137941
5,0.1,20000,0.5,860,0.47058823529411764,0.8879999999999999,0.15686706605783485,0,0.8198777506112517,0,0.6651782945736445
5,0.1,20000,0.5,814,0.5176470588235295,0.8940000000000001,0.1815671680001739,0,0.8477714285714325,0,0.728431613431615
5,0.1,20000,0.5,902,0.4541176470588235,0.8806666666666666,0.1800193318572362,0,0.8626000000000037,0,0.6756577974870672
5,0.1,20000,0.5,870,0.48,0.8866666666666667,0.18099783240517045,0,0.8509168443496852,0,0.6942758620689673
5,0.1,20000,0.5,889,0.4752941176470588,0.8833333333333333,0.15711439182955703,0,0.8423898305084775,0,0.7420284964379461
5,0.1,20000,0.5,813,0.4858823529411765,0.894,0.16302802432866156,0,0.8385673352435556,0,0.6634358343583464
5,0.1,20000,0.5,905,0.4823529411764706,0.88,0.1782658868928671,0,0.8615303983228532,0,0.7073480662983433
5,0.1,20000,0.5,867,0.4835294117647059,0.8873333333333333,0.15688752587320684,0,0.8387777777777795,0,0.6270165321030393
5,0.1,20000,0.7,823,0.4988235294117647,0.8906666666666666,0.15507084832198004,0,0.8247663551401891,0,0.721547185095179
5,0.1,20000,0.7,870,0.4411764705882353,0.8866666666666667,0.15373057252213046,0,0.8265330188679286,0,0.6844061302681997
5,0.1,20000,0.7,876,0.5047058823529412,0.8853333333333332,0.18166575996550074,0,0.8543735224586316,0,0.6750494672754975
5,0.1,20000,0.7,907,0.4717647058823529,0.8800000000000002,0.17065457776138643,0,0.8534405144694555,0,0.634244762954799
5,0.1,20000,0.7,858,0.47058823529411764,0.8880000000000001,0.17405218523729726,0,0.8491217564870307,0,0.7126029526029541
5,0.1,20000,0.7,861,0.49529411764705883,0.8873333333333335,0.1726225591562858,0,0.85335978835979,0,0.6744715447154502
5,0.1,20000,0.7,837,0.48,0.8893333333333334,0.15099768626769036,0,0.8093402777777797,0,0.6337037037037059
5,0.1,20000,0.7,887,0.4576470588235294,0.8846666666666666,0.18129938960345787,0,0.8619602977667494,0,0.6841751221345375
5,0.1,20000,0.7,860,0.4976470588235294,0.8866666666666665,0.17715011793881455,0,0.8487815126050446,0,0.7078527131782943
5,0.1,20000,0.7,873,0.46,0.886666666666667,0.16947771199238948,0,0.8340848214285762,0,0.688132875143186
5,0.1,3000,0.1,842,0.4776470588235294,0.9786666666666666,0.18185923247374206,0.30451612903225783,0.7418473895582348,0.007125890736342043,0.4884768740031895
5,0.1,3000,0.1,850,0.4623529411764706,0.9526666666666666,0.18389617042998896,0.27775510204081644,0.7579378531073443,0.002352941176470588,0.581363993710689
5,0.1,3000,0.1,854,0.49058823529411766,0.958,0.19959669680212563,0.32183745583038825,0.7612043010752689,0.00468384074941452,0.5456117647058801
