neighborhood-range,tolerance,init-sd,enable-movement?,responsiveness,polarization,moran-i-ideology
4,0.1,0.2,true,0.25,0.16736992561160102,1.0499817344741187
4,0.05,0.2,true,0.25,0.2052513661163691,1.0318320634835798
4,0.15,0.2,true,0.25,0.1056086224982381,1.0575207932744035
4,0.1,0.2,true,0.25,0.1680140906861712,1.0543002411425695
4,0.05,0.2,true,0.25,0.20577311268670023,1.035267785514435
4,0.15,0.2,true,0.25,0.1057243011759404,1.0472495023257737
4,0.1,0.2,true,0.25,0.16834918406444085,1.036156370598004
4,0.05,0.2,true,0.25,0.206799007715645,1.029797202793209
4,0.15,0.2,true,0.25,0.10579527541903881,1.0598258232764322
4,0.1,0.2,true,0.25,0.1687370518658235,1.0508442925727495
4,0.05,0.2,true,0.25,0.20751620852026137,1.0306621481119274
4,0.15,0.2,true,0.25,0.10580590425163698,1.053716246274985
4,0.05,0.2,true,0.25,0.2080710566116844,1.0343983556125547
4,0.1,0.2,true,0.25,0.1689590951724022,1.0437077906672663
4,0.15,0.2,true,0.25,0.1057189333142886,1.052727799854902
4,0.05,0.2,true,0.25,0.20902900365468538,1.0305912306100693
4,0.1,0.2,true,0.25,0.16947613035781706,1.05273817096743
4,0.15,0.2,true,0.25,0.10566969718125219,1.0506042523256311
4,0.05,0.2,true,0.25,0.20942883914794572,1.020033617054419
4,0.1,0.2,true,0.25,0.16999752340889399,1.0376785748446222
4,0.15,0.2,true,0.25,0.10574963123547852,1.055979994870715
4,0.05,0.2,true,0.25,0.20979015215306349,1.0293004279535702
4,0.1,0.2,true,0.25,0.17040929963001195,1.0462493174166583
4,0.15,0.2,true,0.25,0.10569286832559709,1.047215603265495
4,0.05,0.2,true,0.25,0.21024195102100368,1.0313745116612414
4,0.1,0.2,true,0.25,0.1708412022188087,1.0453149800504493
4,0.15,0.2,true,0.25,0.10579572846843999,1.0446456720457584
4,0.05,0.2,true,0.25,0.2104840607824415,1.0304824341390697
4,0.1,0.2,true,0.25,0.17134296270640906,1.0365275265379323
4,0.15,0.2,true,0.25,0.10574090918160785,1.0471955480552602
4,0.05,0.2,true,0.25,0.2111277214890092,1.0358671936930188
4,0.1,0.2,true,0.25,0.17165166209280777,1.0330360817173456
4,0.15,0.2,true,0.25,0.1057248262851874,1.0518804062786462
4,0.05,0.2,true,0.25,0.2116152670169101,1.0460379869071383
4,0.1,0.2,true,0.25,0.1720535649441158,1.036751150012353
4,0.15,0.2,true,0.25,0.10571517471853395,1.0510092480650326
4,0.1,0.2,true,0.25,0.1724368895642353,1.0429557085293226
4,0.05,0.2,true,0.25,0.21227612838112694,1.0331549681333747
4,0.15,0.2,true,0.25,0.10567825903515829,1.0474998284008858
4,0.05,0.2,true,0.25,0.21269220140386838,1.0309869866585886
4,0.1,0.2,true,0.25,0.17303793048706131,1.0465767112305284
4,0.15,0.2,true,0.25,0.10566784066297247,1.0456797262912096
4,0.05,0.2,true,0.25,0.21333798472308474,1.0256015856403098
4,0.15,0.2,true,0.25,0.10566790625447353,1.0414068941741306
