Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
Ekaterina Valueva; Anastasia Panfilova; Antonina Rafikova,Automatic Scoring of Verbal Divergent Thinking Tests: From Lexical Databases to Large Language Models,2024,025-973-417-012-778,10.17323/1813-8918-2024-1-202-225,0
I.A. Merkul; V.O. Volchanskaya,Socialization Problems in Orphans and Children Without Parental Care,2021,026-302-984-777-311,10.17759/pse.2021260615,5
A B Teplova; V A Chernushevich,Folk Game as Sociocultural Means of PreventingDeviant Behaviour,2017,026-415-658-268-002,10.17759/chp.2017130307,7
K.A. Fadeev; E.V. Orekhova,"Central auditory processing disorders: causes, symptoms, and ways to overcome deficits in the learning environments",2024,026-560-586-727-855,10.17759/jmfp.2023120401,1
Rita A. Turevskaya; Arina A. Plenskovskaya,THEORY OF MIND DEVELOPMENT IN SCHOOL CHILDREN WITH AUTISM SPECTRUM DISORDERS,2021,026-632-023-777-496,10.17759/cpp.2021290107,2
G S Bannikov; O V Vikhristyuk; Igor Galynker,A New Approach to Suicidal Behavior Diagnostics: A Review of Foreign Sources,2020,026-743-260-201-468,10.17759/cpp.2020280102,1
Г.Е. Рупчев; А.А. Алексеев,Первичная апробация методики для диагностики восприятия противоречий в норме и при психической патологии,2017,026-797-528-411-989,10.17759/cpse.2017060210,0
S V Molchanov; O S Markina,Moral Orientation Dynamics in Adolescence and Youth,2014,026-852-418-079-291,10.17759/psyedu.2014060412,2
С.В. Молчанов; О.В. Алмазова,Представления подростков об ответственности в моральных дилеммах разного типа,2017,026-993-300-033-086,10.17759/chp.2017130409,2
D S Oshevsky,Clinical and psychological aspects of adolescent involvement in extremist and terrorist activities,2017,027-234-413-783-544,10.17759/psylaw.2017060210,4
G S Bannikov; O V Vikhristyuk;N Y Fedunina,Applying the Technique for Screening the Risks of Suicidal Behavior in Adolescents and Young People,2018,027-264-189-341-342,10.17759/pse.2018230409,4
V.K. Zaretsky,"To the 90th Anniversary of V.P. Zinchenko and V.M. Munipov — the ""Fathers"" of Ergonomics",2021,027-314-959-529-978,10.17759/chp.2021170415,2
N V Bogdanovich; M. Melnik,Legal Culture in Psychology: Age Specific and Gender Aspect,2022,027-438-620-844-041,10.17759/psylaw.2022120410,1
K A Bochaver; А B Danilov; S K Nartova-Bochaver; A V Kvitchasty; O Y Gavrilova; N. Zyazina,Перспективы салютогенного подхода к профилактике синдрома выгорания у российских врачей,2019,027-531-068-092-101,10.17759/cpse.2019080104,10
A.M. Razorenova; V V Skavronskaya; N B Tyulenev; A M Rytikova; Boris V. Chernyshev,Can learning new words in auditory modality lead to rapid cortical plasticity in adults,2020,027-553-248-402-661,10.17759/jmfp.2020090204,2
И А Рябкова; Е О Смирнова; Е Г Шеина,Возрастные особенности ролевой игры дошкольников в условиях открытой предметной среды,2018,027-587-740-329-182,10.17759/pse.2018230607,4
В А Пимонов; В В Делибалт;Dvoryanchikov; Д А Малкин,К вопросу о нормативно-правовом регулировании организации деятельности психолого-медико-педагогических комиссий в контексте профилактики правонарушений несовершеннолетних,2018,027-804-053-825-174,10.17759/psylaw.2018080107,5
М С Московская; В Г Булыгина,Гендерные различия в восприятии стресса у работников следственных органов,2018,027-989-593-495-464,10.17759/psylaw.2018080307,1
F S Safuanov; M.G. Sorokova; A K Sokovets,Про- и антиагрессивные личностные факторы у обвиняемых с психическими расстройствами в преступлениях против личности,2019,028-096-523-153-213,10.17759/psylaw.2019090312,2
N.V. Zvereva; I. Roschina; A. Hromov,The Continuing of Traditions: On the III National Scientific-Practical Conference with International Participation to the 110th Anniversary of Susanna Rubinstein,2021,028-196-274-952-054,10.17759/cpse.2021100412,1
E.I. Rasskazova,Subjective Importance of Work and Time Allocation: Relationship with Subjective Well-Being and Work Engagement Under Different Job Demands,2021,028-280-678-902-725,10.17759/cpp.2021290404,0
Yu.M. Zabrodin; O.I. Leonova,"The organization of application of the professional standard ""The Educational Psychologist (the Psychologist in Education)"" in the adaptation mode",2017,028-527-024-882-122,10.17759/psyedu.2017090303,4
Svetlana A. Kotovskaya; Alexander V. Makhnach,INTERRELATION OF WORKABILITY AND INDIVIDUAL PSYCHOLOGICAL CHARACTERISTICS OF THE EXTREME PROFESSIONS SPECIALISTS WITH THEIR OPTIMAL LEVEL OF RESILIENCE,2022,028-725-101-032-306,10.38098/ipran.opwp_2022_25_4_002,1
Е.Ю. Федорович; Е.Е. Соколова,Майкл Томаселло versus Алексей Николаевич Леонтьев: диалог во времени,2018,028-736-856-729-869,10.17759/chp.2018140105,0
Н.А. Варако; Р.С. Шилко; М.С. Ковязина; Е.И. Рассказова;G. Ya. Menshikova; Юрий Петрович Зинченко,"Международная классификация функционирования, ограничений жизнедеятельности и здоровья (МКФ) и культурно-деятельностный подход Л.С. Выготского–А.Н. Леонтьева–А.Р. Лурии",2019,028-834-764-065-160,10.17759/cpse.2019080308,2
A.I. Dontsov; E B Perelygina; O.Y. Zotova; S.V. Mostikov,Trust as a factor of psychological security in interethnic interaction,2018,028-880-915-146-927,10.17759/sps.2018090202,9
M V Ermolaeva; O V Smirnova,Characteristics of Parental Communication as a Factor of Adolescents’ Psychological Well-Being,2020,029-022-666-069-072,10.17759/pse.2020250105,13
V.K. Zaretsky;A.B. Kholmogorova,"CONNECTIONZ OF EDUCATION, DEVELOPMENT AND HEALTH IN THE PERSPECTIVE OF CULTURAL-HISTORICAL PSYCHOLOGY",2021,029-103-602-663-341,10.53677/9785919160472_231_236,0
Alexander Konyakhin Master'; Dmitry Alferenko; Nazgul Clinical; Lyudmila Nikolaevna; Общая Психология; Отношения Женщины; К Своей; Беременности Ее; Опытом Отношений; С Собственной Матерью; Aleksandra Mikheicheva; Maria Yasnenko,,2023,029-258-479-633-185,10.32743/unipsy.2023.110.8,0
O.A. Glinik,Numeracy Skills Disorders: Review of Causes and Neuropsychological Mechanisms of Dyscalculia,2022,029-332-027-810-665,10.17759/pse.2022270102,3
Е Ю Литвинова; С А Макеева; М А Харченко,Intolerance of ambiguity and achievement motivation of drivers,2018,029-431-115-634-159,10.17759/sps.2018090405,2
Т В Попова; А С Калашникова,Научно-практические рекомендации по профилактике эмоционального выгорания у судей,2018,029-476-375-730-39X,10.17759/psylaw.2018080109,1
Б К Олофссон; Т В Ермолова,Игры и творчество,2015,029-516-620-048-583,10.17759/jmfp.2015040302,0
С А Макеева; Т В Кочетова,Междисциплинарная модель поддержки и содействия развития «компетенции мобильности» в Европе,2017,029-946-045-686-887,10.17759/jmfp.2017060105,3
Е.И. Рассказова,Функции жалоб на нарушения сна и сонливость в межличностном общении: культурно-исторический подход в психосоматике,2019,029-995-176-021-122,10.17759/chp.2019150405,0
I V Bogdanova; Valery Nosulenko,Informational content of verbal data in the task of preserving and transmitting cognitive experience,2019,030-030-063-252-455,10.17759/exppsy.2019120402,1
Майя Леонидовна Котляр,Representation of the socio-psychological situation in the educational institution in the various participants of the educational process,2014,030-042-173-781-33X,10.17759/psyedu.2014060132,0
Inna Bovina;Dvoryanchikov; Lionel Dany; Aim M.-A.; A V Milekhin; Gayamova S.Yu.; A V Yakushenko,Health representations of children and adolescents,2018,030-323-465-928-293,10.17759/exppsy.2018110104,6
A.N. Savostyanov; V.V. Stеpanova;N.N. Tolstykh,Will and Self-Regulation: An Interdisciplinary Research Experience,2019,030-454-948-436-963,10.17759/chp.2019150310,3
Н В Зверева,Расстройства аутистического спектра через призму сенсомоторной коррекции,2018,030-458-774-602-631,10.17759/cpse.2018070315,0
F S Safuanov; S S Kulakov,"Dependence of the Family Conflict Structure on the Personal Characteristics of Parents, Participants in Disputes About the Upbringing and Residence of the Child",2018,030-489-721-693-80X,10.17759/cpse.2018070406,0
A N Larin,Psychological characteristics of victims of trafficking,2015,030-690-057-420-655,10.17759/psylaw.2015050308,0
O E Khukhlaev; V M Minazova; O S Pavlova; E V Zykov,Social Identity and Ethnic Attitudes in Students from Chechnya,2015,030-716-425-423-634,10.17759/sps.2015060403,7
N N Avdeeva; B A Hoffman,Current research on adolescents’ relationships with parents,2019,030-809-661-012-696,10.17759/jmfp.2019080407,9
E B Fantalova; R Barabanov,Relaxing Biofeedback as a Psychological Correction Technique in the Treatment and Rehabilitation of the Vocal Apparatus Diseases,2017,031-292-824-260-342,10.17759/cpse.2017060302,0
V.K. Zaretsky; A.A. Ageeva,Problem of the Effectiveness of Parental Assistance to Children in Situations of Educational Difficulties From the Perspectives of the Reflection-Activity Approach and Cognitive-Behavioral Therapy,2021,031-403-539-795-208,10.17759/cpp.2021290310,2
T I Bonkalo; T Y Marinova; S V Feoktistova; S V Shmeleva,Dyadic Coping Strategies of Spouses as a Factor in Latent Dysfunctional Relationships in the Family: an Empirical Study in a Pandemic,2020,031-526-239-462-460,10.17759/sps.2020110303,4
V A Barabanschikov; S A Ivanova,The structure-function and content aspects of procrastination in employees of organization,2018,031-548-563-739-537,10.17759/exppsy.2018110210,1
N.N. Tolstykh,On the 60th Birthday of Mikhail Yu. Kondratyev,2016,031-632-009-773-406,10.17759/sps.2016070101,0
С В Будыкин,Информационная безопасность детей и подростков в современном мире: психологические аспекты проблемы,2017,031-757-466-749-435,10.17759/psylaw.2017070102,4
T I Kuzmina; А O Chizhova,Analytical Review of Approaches in the Study and Correction of Behavioral Disorders in Children and Adolescents (Evidence from Attention Deficit and Hyperactivity Disorder),2019,031-802-121-807-441,10.17759/cpse.2019080101,1
E. Vlasenkova; M. Gagarina,Attitudes to Social and Political Advertising Among Russian Youth,2020,032-216-618-944-067,10.26794/2308-944x-2019-7-4-39-44,1
V.L. Sokolov,Simulation of Teaching Activities in the Training of Bachelors in Psychological-Pedagogical Direction,2018,032-221-629-523-459,10.17759/psyedu.2018100112,3
A A Margolis; M.G. Sorokova; A A Shvedovskaya,"Face-to-face, Blended or Online: How Do Students Prefer to Study?",2022,032-221-797-572-559,10.17759/pse.2022270501,7
L.A. Maksimova; S.A. Minyurova; N.N. Vasyagina; M.A. Egorova; G.Y. Gutina; I.V. Yemelyanova,Опыт повышения квалификации педагогических работников и специалистов учебно-методических служб по проектированию и реализации магистерской программы «Школьная психология»,2015,032-342-632-126-439,10.17759/psyedu.2015070412,2
И А Хватов; А Ю Соколов; А Н Харитонов,Modifying body schemata in skinks Tiliqua gigas,2016,032-703-408-443-270,10.17759/exppsy.2016090305,4
N M Lapteva; E A Valueva; E.A. Shepeleva,The Problem of Influence of Children’s Birth Order in the Family on Their Intellectual Abilities and Personality Traits,2019,032-933-914-207-194,10.17759/jmfp.2019080208,0
Sergey V. Molchanov; Olga V. Almazova; N N Poskrebysheva,Moral Judgments in Adolescents with Different Levels of Psychological Well-Being,2019,033-127-973-466-380,10.17759/pse.2019240402,10
N.E. Veraksa; Z.V. Airapetyan; M.N. Gavrilova; K.S. Tarasova,The Relationship Between Dialectical Thinking and Emotion Understanding in Senior Preschool Children,2022,033-168-982-087-850,10.17759/chp.2022180104,3
Y.V. Yarovikova; E A Balygina,The Implementation of the Principle of Economy in the Formation of Psychological Terms in English and Russian,2020,033-249-177-066-98X,10.17759/langt.2020070202,0
A.B. Kholmogorova,"From the Editor: 30th Anniversary of the Journal of Counseling Psychology and Psychotherapy, 25th Anniversary of MSPUE and Faculty of Counseling and Clinical Psychology, 25 Years of the Reflective–Activity Approach",2022,033-602-038-372-914,10.17759/cpp.2022300401,0
А.А. Панкратова; Д.В. Люсин,Видеоролики для индукции эмоций в лабораторных условиях: нормативные данные и кросс-культурный анализ,2018,033-672-035-937-530,10.17759/exppsy.2018110201,2
Elena I. Rasskazova; A. Sh. Tkhostov; M. Kovyazina; N. Varako,Group and Macro-Social Interventions in Health-Related Behavior Change Programs: Opportunities and Limitations,2021,033-807-565-033-198,10.17759/cpse.2021100203,0
N V Bogdanovich; V V Delibalt; V A Chernushevich,Methodological Issues of Providing Training in Prevention of Behavioural and Developmental Disorders within Master’s Programme in School Psychology,2016,033-810-352-883-217,10.17759/psyedu.2016080307,0
М С Московская; Д А Котельникова; А А Дубинский,"Особенности регуляции деятельности у сотрудников следственных органов (клинико-психологический, нейропсихологический и гендерный аспекты)",2017,033-897-676-152-474,10.17759/psylaw.2017070307,3
I A Bedina; A A Burtsev;T V Kochetova,A Competency Model for a Specialist in Medical and Psychological Work in the Field of Road Safety,2021,034-051-427-162-193,10.17759/psyedu.2021130302,0
M E Lantsburg; T V Krysanova; E V Solovyeva,Psychological and psychosomatic disorders during pregnancy and childbirth: a review of contemporary international researches,2016,034-089-792-748-962,10.17759/jmfp.2016050210,5
E.V. Gavrilova; S.S. Belova,Непреднамеренная переработка информации и вербальный интеллект,2017,034-426-220-191-825,10.17759/exppsy.2017100202,0
N V Khodyakova; A I Mitin,Addressing Psychological Mechanisms of Personality Development in Educational Environment Design,2017,034-591-896-287-447,10.17759/pse.2017220414,7
A N Sidneva,Basic Objections to the Theory of Stage-By-Stage Formation of Mental Actions and Concepts,2019,034-680-004-065-297,10.17759/chp.2019150303,1
A A Adaskina,Digital Art Therapeutic Possibilities,2021,035-250-238-073-616,10.17759/jmfp.2021100410,1
N.P. Radchikova; M. Odintsova; M.G. Sorokova,Prerequisites for Accepting the Digital Educational Environment in New Cultural and Historical Conditions,2021,035-578-291-912-879,10.17759/chp.2021170315,4
A V Pogodina; Litvinova E.Yu.; Kharchenko,Competence Approach to the Training of Organizational Psychologists in the Context of Reforms in Higher Education,2016,035-677-476-622-759,10.17759/sps.2016070108,1
T.Y. Sunko,Communication Skills and Empathy of First-Year Students,2022,035-939-847-176-688,10.17759/bppe.2022190208,3
T A Egorenko;S P Sanina,V.V. Davydov’s Ideas in Education: The Past and the Present,2020,036-028-827-599-359,10.17759/pse.2020250510,2
V V Rubtsov;A A Margolis; V.T. Kudryavtsev; A A Shvedovskaya,Celebrating the 70th Brithday of B.D. Elkonin. The Mediator Between ‘Non-classical’ Psychologies,2020,036-281-656-445-230,10.17759/chp.2020160113,0
M.G. Sorokova,Электронный курс как цифровой образовательный ресурс смешанного обучения в условиях высшего образования,2020,036-305-914-545-052,10.17759/pse.2020250104,27
D V Sochivko; I.S. Ganishina; M.I. Maryin; V.V. Sundukova,"Психологические особенности преступников-коррупционеров, отбывающих наказания в местах лишения свободы",2020,036-366-766-345-639,10.17759/psylaw.2020100301,6
А А Байтимирова; И Н Коноплева,Особенности эмоционального выгорания у офицеров силовых структур с различным сроком службы,2020,036-398-807-221-218,10.17759/psylaw.2020100401,0
Е.И. Рассказова; А.Ш. Тхостов; М.С. Ковязина; Н.А. Варако,Изменение образа жизни пациента как задача психологической реабилитации: организация реабилитации как совместной деятельности на личностном и межличностном уровнях,2020,036-425-163-991-217,10.17759/cpse.2020090103,3
S V Molchanov; N N Poskrebysheva; A.A. Zapunidi; O S Markina,Развитие личностной автономии как условие формирования ориентации подростка в моральной сфере,2015,036-451-096-622-575,10.17759/chp.2015110402,5
А В Дегтярев; Е А Галкина,Личность и эмоциональная сфера студентов в контексте подготовки специалистов для работы с детьми в юридически значимых ситуациях (Часть 2),2016,036-488-158-584-738,10.17759/psylaw.2016060303,0
В А Рогачев; И Н Коноплева,Аналитический обзор исследований по проблеме неопределенности и изучения копинг-стратегий у сотрудников правоохранительных органов,2018,036-533-115-938-41X,10.17759/psylaw.2018080103,3
I V Vachkov; D A Zaruba; J.Y. Kurtanova,Psychological Characteristics of Self-Image and Self-Assessment in Adolescents with Impaired Renal Functioning of Different Severity,2018,036-535-577-347-39X,10.17759/cpse.2018070303,3
V A Guruzhapov;S P Sanina; I V Voronkova; L N Shilenkova,Diagnostic competence of teachers as a condition for overcoming academic failure of students,2019,036-677-010-213-204,10.17759/jmfp.2019080105,3
O.A. Sagalakova; D.V. Truevtsev; O.V. Zhirnova,Rumination as a psychological mechanism in the suicidal behavior formation and maintenance,2022,036-727-592-105-854,10.17759/jmfp.2022110112,2
Tatiana A. Stroganova; Elena V. Orekhova; Ilia A. Galuta,Neural basis of attention orienting abnormalities in children with autism,2015,036-892-807-903-212,10.17759/exppsy.2015080302,4
Natalia Kargina; Andrey Polyansky; Lyubov Bykovskaya,The relationship between the ideas of boys and girls about the personal qualities of the desired marriage partner and intelligence,2021,036-896-105-979-27X,10.15862/52psmn221,0
A.Y. Khokhlova; C. Moreau,Problems of identification of sensory impairments and deafblindness in the nowadays children with congenital disabilities,2024,036-958-193-862-696,10.17759/jmfp.2023120402,0
L S Kuravsky; G A Yuryev; V I Zlatomrezhev; I I Greshnikov; Polyakov B.Yu.,Assessing the Aircraft Crew Activity Basing on Video Oculography Data,2021,037-106-475-709-688,10.17759/exppsy.2021140110,4
N V Bogdanovich,Competence Approach in the Process of Specialists Training in Pedagogy and Psychology of Deviant Behavior,2014,037-336-485-883-819,10.17759/psyedu.2014060401,5
В А Барабанщиков; И И Беспрозванная,Следы личности на схематическом изображении лица,2019,037-504-199-726-310,10.17759/exppsy.2019120202,3
A.B. Kholmogorova,From the Editor: A.T. Beck's Predictions as to the Future of Psychotherapy and Russian Specialists` Experience,2021,037-569-170-267-429,10.17759/cpp.2021290302,4
A A Adaskina,Adaptation strategies of children with ADHD to the educational process,2016,037-744-917-499-080,10.17759/jmfp.2016050303,4
Inna Bovina,Empathy: Critical Analysis and New Research Perspectives,2020,037-972-531-681-407,10.17759/chp.2020160109,8
I Y Kulagina; M.A. Kravtsova,The Relationship of Academic Motivation and Psychological Well-being in Primary School Age,2022,038-053-465-227-781,10.17759/psyedu.2022140403,5
S.S. Ermakov,Modern e-learning technologies: analysis of the impact of gamification methods on student engagement in the educational process,2020,038-422-101-417-841,10.17759/jmfp.2020090304,6
А.А. Панкратова,Связь стратегий эмоциональной регуляции с субъективным благополучием и жизнестойкостью: эффекты актора и партнера в супружеских парах,2022,038-561-482-312-137,10.17323/1813-8918-2022-2-241-258,0
Б Б Величковский; А И Измалкова,Влияние нагрузки на вербальную рабочую память при глазодвигательной активности в условиях выполнения задания зрительного поиска,2015,038-572-678-440-601,10.17759/exppsy.2015080203,3
A.B. Kholmogorova,From the Editor,2019,038-645-348-923-939,10.17759/cpp.2019270401,0
E.N. Soldatenkova,Overcoming the Semantic Barrier and Developing the Ability to Use Communicative Tools Part I. Issue. Method,2021,038-777-322-010-415,10.17759/chp.2021170308,0
N. G. Osipova,Социальное неравенство в современном мире,2020,038-857-167-336-879,10.24290/1029-3736-2019-25-4-124-153,11
N S Denisenkova,Exploring First Graders’ Learning Motivation in Different Educational Environments,2020,038-939-406-241-535,10.17759/pse.2020250101,5
M. Odintsova; N.P. Radchikova; V A Yanchuk,Assessment of the COVID-19 pandemic situation by residents of Russia and Belarus,2021,039-003-253-107-818,10.17759/sps.2021120204,4
E P Belinskaya; E M Dubovskaya,One-parent family as agent of socialization: interrelation of mother’s conception of child’s psychological well-being and her strategies of coping with difficulties,2016,039-050-872-119-633,10.17759/sps.2016070303,2
N V Meshkova; S N Enikolopov,"Negative Creativity in Education: Features, Threats and Research Perspectives",2017,039-065-520-227-253,10.17759/pse.2017220508,8
Z V Lukovtseva,The COVID-19 Pandemic as a Social Stressor: Psychological and Psychiatric Risk Factors (Based on Foreign Studies),2020,039-070-772-045-321,10.17759/sps.2020110402,10
Л Ю Демидова; Н В Зобнина;Dvoryanchikov; Г Е Введенский; М Ю Каменсков; Д М Купцова,Измененное восприятие возраста при педофилии / педофильном расстройстве,2020,039-493-810-420-01X,10.17759/cpse.2020090106,2
Karina R. Arutyunova; I. M. Sozinova; Y.I. Alexandrov,Brain activity during moral judgement of action,2020,039-687-591-087-768,10.17759/jmfp.2020090206,3
S V Gornostaev; V M Pozdnyakov; D V Sochivko,Experimental verification of the integral model of loyalty,2019,039-805-102-059-569,10.17759/exppsy.2019120107,0
Н Ю Корчагин;Dvoryanchikov; О Ю Антонов; Т И Шульга,"Специфика стратегий психологического воздействия у лиц, совершающих преступления сексуальной направленности против несовершеннолетних с использованием телекоммуникационной сети Интернет",2020,040-157-196-964-537,10.17759/psylaw.2020100209,7
V.S. Yurkevich,Intellectual giftedness and social success: an analysis of the contradictory context,2018,040-210-495-020-536,10.17759/jmfp.2018070203,14
M V Ermolaeva; D V Lubovsky,Psychological Capital of the Organization in the Context of Resource and Socio-Psychological Approaches,2020,040-336-506-242-964,10.17759/sps.2020110405,4
V.T. Kudryavtsev,Foreword,2021,040-380-603-499-161,10.17759/chp.2021170101,0
V.G. Anikina; P A Pobokin; J Y Ivchenkova,The Use of Virtual Reality in Overcoming the State of Anxiety,2021,040-591-528-451-95X,10.17759/exppsy.2021000004,7
А Б Холмогорова; М А Москачева; О В Рычкова; О Д Пуговкина; В В Краснова-Гольева; А А Долныкова; Д М Царенко; Ю М Румянцева,Comparison of the ability to mentalization in patients with schizophrenia and schizoaffective psychosis based on the methodology «Understanding the mental state of theeyes»,2015,041-064-250-243-292,10.17759/exppsy.2015080310,4
A.A. Kornienko,Review of foreign studies on the impact of cochlear implantation on the quality of life of persons with hearing impairment,2021,041-093-856-441-069,10.17759/jmfp.2021100208,3
V A Barabanschikov; M.M. Marinova; A D Abramov,Virtual Personality of a Moving Thatcherized Face,2021,041-184-786-030-240,10.17759/pse.2021000001,7
Н Л Горбачевская; К Г Караханян; Е Ю Давыдова,A Gifted Child with Special Needs. A Longitudinal Study of Memory and EEG,2016,041-365-878-129-11X,10.17759/cpse.2016050205,0
D A Bukhalenkova; A N Veraksa; E.A. Chichinina,"The Relationship Between the Use of Digital Devices and Sleep Quality, Physical Activity and Eating Behavior in Preschool Children",2022,041-405-427-877-411,10.17759/jmfp.2022110206,1
Dvoryanchikov,Рецензия на учебник проф. Ф.С. Сафуанова «Судебно-психологическая экспертиза»,2015,041-442-352-668-246,10.17759/psylaw.2015050310,0
Marina A. Zhukova; O I Talantseva; T I Logvinenko; O S Titova; Elena L. Grigorenko,Complementary and Alternative Treatments for Autism Spectrum Disorders: A Review for Parents and Clinicians,2020,041-800-659-429-44X,10.17759/cpse.2020090310,8
С.В. Зайцев,Характеристика индивидуальных способов выполнения регулятивных учебных действий младшими школьниками (2−4 классы),2022,041-896-351-418-954,10.17323/1813-8918-2022-3-543-561,0
V V Bartsalkina; L V Volkova; I Y Kulagina,Features of the Value-Semantic Sphere in Experiencing a Difficult Life Situation in Maturity,2019,042-224-157-287-430,10.17759/cpp.2019270205,4
Е Ю Давыдова; А Б Сорокин; А В Хаустов; Е Ф Шведовский,Проблемы и перспективы интеграции методов с доказанной эффективностью в практику школьного обучения детей с расстройствами аутистического спектра,2021,042-405-688-254-614,10.17759/cpse.2021100103,4
D V Lubovsky,School Readiness in Children: Types and Correlation with Duration of School Preparation Activities,2019,042-447-038-530-459,10.17759/pse.2019240304,4
В В Рубцов;Ю М Забродин; О И Леонова,Approbation and Implementation of Professional Standard for Educational Psychologists (Psychologist in Education): Regional Experience,2018,042-693-405-616-953,10.17759/pse.2018230107,6
О В Вихристюк; Л А Гаязова; А В Ермолаева,Модель подготовки и сопровождения специалистов детского телефона доверия в системе дополнительного образования,2019,042-847-185-616-87X,10.17759/psylaw.2019090307,4
Г.У. Солдатова; А.Ф. Гасимов,Разработка и апробация методики оценки переговорного стиля (МОПС),2019,042-904-498-819-983,10.17759/exppsy.2019120307,4
B I Bespalov,Exploring Psychological Systems with the 'Method of Units',2015,043-044-694-463-303,10.17759/chp.2015110201,0
O.V. Rubtsova; T.A. Poskakalova; E.I. Shiryaeva,Features of On-Line Behavior in Adolescents with Different Levels of Self-Concept Clarity,2021,043-669-325-445-484,10.17759/pse.2021260402,10
A.M. Rikel; N.V. Fedorova;Inna Bovina,Between Grief and Pride: Visual Methods for the Study of Intergenerational Features of Emotional Experiences and Collective Memory of the War,2021,043-704-519-585-646,10.17759/cpp.2021290408,0
V V Rubtsov;Yu.M. Zabrodin; O.I. Leonova,Analytical Review of the XV International Scientific and Practical Conference “Educational Psychology: Best Practices for Working with Childhood”,2019,043-709-738-230-565,10.17759/bppe.2019040401,1
Yu.V. Gromyko;V V Rubtsov;A A Margolis,The School as Ecosystem of Developing Child-Adult Communities: Activity Approach to Designing the School of the Future,2020,043-925-099-028-26X,10.17759/chp.2020160106,28
A.A. Polosina; A.Yu. Shilin,Problems of socialization of young people in the conditions of COVID-19,2021,044-113-430-121-732,10.17759/jmfp.2021100305,3
Marianna Sachkova; Сачкова Марианна Евгеньевна; Galina K. Esina; Есина Галина Константиновна,Structure of Social Representations of Higher Education in Students with Different Intragroup Status,2019,044-162-744-897-999,10.22363/2313-1683-2019-16-4-582-599,0
A Y Bukharina;N.N. Tolstykh,Time Perspective and Temporal Competence as Factors of Productive Learning Motivation,2019,044-599-012-333-583,10.17759/jmfp.2019080204,10
S E Retsya; Z V Lukovtseva,Denial of gender-based violence: introduction to the problem,2019,044-612-152-853-859,10.17759/psylaw.2019090106,1
Vladimir G. Maralov; V.A. Sitarov,NON-VIOLENCE PSYCHOLOGY: PROBLEMS OF RESEARCHES AND PROSPECTS OF DEVELOPMENT,2019,044-901-783-475-031,10.15507/2078-9823.046.019.201902.195-215,0
S.S. Ermakov,"Analysis of personality characteristics of intellectually gifted students, causing difficulties in their process of preschool and school education",2016,045-145-208-324-70X,10.17759/jmfp.2016050304,4
E.Yu. Davydova; Alexander Sorokin,Assessment of Life Competencies in Elementary School Students,2019,045-171-993-646-921,10.17759/pse.2019240602,4
Natalia B. Shumakova; Elena I. Shcheblanova; Marina G. Sorokova,"""Classroom Climate"" — Standardization of the Russian Version  of the Modified Questionnaire ""School Climate""",2023,045-694-351-724-230,10.17323/1813-8918-2023-2-231-256,7
T V Avakyan; S V Volikova; M.G. Sorokova,The Influence of the Social Situation of Development on the Social Cognition in the Children-Orphans,2019,045-819-911-313-015,10.17759/cpse.2019080102,3
V A Barabanschikov; E.A. Lupenko; A.S. Shunto,"Observer’s Vision of a personality of a Human, who is Depicted on an Artistic Portrait or a Photograph",2019,045-954-382-092-940,10.17759/exppsy.2019120301,1
A.O. Burtsev; N.V. Efimkina; S.I. Kudinov; A.I. Pozin,Self-realization in Officers of the Ministry of Internal Affairs of the Russian Federation,2021,046-325-697-837-999,10.17759/psylaw.2021110108,4
В.П. Воробьева; О.С. Перепелкина; Г.А. Арина,Исследование эквивалентности иллюзии резиновой руки в классическом варианте и в условиях виртуальной реальности,2020,046-352-555-546-049,10.17759/exppsy.2020130303,2
M. Odintsova; N.P. Radchikova; M.G. Kulyatskaya,Coping Styles of Young People Dealing with Traumatic Events Reflected in Fairy Tales,2017,046-534-228-820-714,10.17759/cpse.2017060407,0
Valentina Gritsenko;O E Khukhlaev; Olga S. Pavlova; Natalya V. Tkachenko; S.A. Usybyan; V A Shorokhova,Анализ зарубежных эмпирических моделей межкультурной компетентности и методик для ее оценки (Часть 2),2020,046-856-674-082-151,10.17759/jmfp.2020090111,5
T.A. Krassilo,"The relationship between the frequency of use of electronic gadgets, inclusion in game interaction and creativity among preschoolers",2020,046-868-769-143-277,10.17759/sps.2020110109,3
Dvoryanchikov; Т Е Макарова; Н Н Юшина,Perception features of the sexual preference object in persons with pedophilia depending on the attitude to sexual desire,2016,046-919-629-863-413,10.17759/psylaw.2016060110,2
V A Barabanschikov; A V Zhegallo,Dynamics of Key Facial Points as an Indicator of the Credibility of Reported Information,2021,047-017-116-459-494,10.17759/exppsy.2021140207,0
Р В Чиркина; Е Э Бойкина; К С Койкова; Н В Бригадиренко; Е В Стратийчук; Ю В Тишкова; И В Чеботарев,Evaluation of the Preventive Potential of the Technology for the Formation of Socially Significant Children Skills in the Skillful Сlass-Method,2020,047-165-121-637-384,10.17759/psylaw.2020100407,7
В М Ялтонский; Д В Московченко; Н А Сирота; А. В. Ялтонская,Психометрические характеристики модифицированного Опросника восприятия болезни: апробация на больных раком молочной железы и ишемической болезнью сердца,2017,047-205-595-631-009,10.17759/cpse.2017060212,0
