Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
И А Хватов; А Ю Соколов; А Н Харитонов,Схема собственного тела у змей Lampropeltis triangulum campbelli,2015,005-599-039-412-121,10.17759/exppsy.2015080209,4
T V Shinina;Olga V. Mitina,Design and Validation of the «Adolescents’ Readiness for Independent Living» Questionnaire: Assessment and Development of Life Skills,2019,005-608-509-630-775,10.17759/pse.2019240104,12
I R Martynova,"Клинико-психологические факторы риска агрессивного поведения у несовершеннолетних с делинквентным поведением, не достигших возраста уголовной ответственности",2016,005-672-602-319-128,10.17759/psylaw.2016060307,1
T V Kochetova,The International Scientific-Practical Conference “Traffic Psychology: Theory and Practice”,2017,005-737-691-042-822,10.17759/sps.2017080212,1
И Б Умняшова; И А Егоров,Направления и формы развития правовой культуры педагогических работников,2019,005-778-258-878-355,10.17759/psylaw.2019090111,2
D V Lubovsky,Культурно-исторический подход в клинической психологии и специальной педагогике,2015,005-977-264-829-105,10.17759/pse.2015200315,0
Е.А. Тахо-Годи,А.Ф. Лосев и психология,2018,005-984-844-004-105,10.17759/chp.2018140410,0
Н А Польская; Ю А Соловьянова,Нарциссические черты личности и их взаимосвязь с разными аспектами самоотношения в молодежной выборке,2019,006-098-398-824-380,10.17759/cpse.2019080405,2
Anna Koteneva; Aleksey V. Kokurin; Anna Litvinova; A. V. Goncharenko,Professional Self-esteem and Adaptation of the Penitentiary System Staff,2020,006-346-761-128-014,10.17759/psylaw.2020100302,3
М В Ермолаева; Ж.М. Кокуева; А.В. Погодина,PRINCIPLES OF TEAM BUILDING IN PROJECT ACTIVITY,2020,006-520-111-559-999,10.38098/ipran.opwp.2020.16.3.005,1
V V Fyodorov,The structure of self-presentation of adolescents in real communication and social networks,2020,006-627-764-907-233,10.17759/sps.2020110111,4
A A Adaskina,The study of the phenomenon of math anxiety in foreign psychology,2019,006-649-759-505-771,10.17759/jmfp.2019080103,6
L.I. Elkoninova; I.S. Grigoryev,Exploring Child Play within the Framework of Cultural-Historical Psychology: Experience and Perspectives,2015,006-898-194-311-140,10.17759/chp.2015110303,0
N S Denisenkova; V V Fyodorov,Comparative Analysis of Developmental Levels of Mental Abilities in Modern Preschoolers and Their Peers Who Attended Kindergartens in the Last Third of the Twentieth Century,2021,007-068-903-324-07X,10.17759/pse.2021260302,6
V S Sobkin; Alexandr Veraksa; D A Bukhalenkova; A V Fedotova; U A Khalutina; Vera A. Yakupova,Role of Social Demographic Factors and Parental Position in the Development of Preschool Child,2017,007-130-733-664-438,10.17759/pse.2017220201,4
Pascal Moliner; Молине Паскаль;Inna Bovina; Бовина Инна Борисовна,Introduction: The Heuristic Value of Social Representations Theory,2021,007-310-533-715-016,10.22363/2313-1683-2021-18-2-291-298,5
D.K. Alimova;N V Bogdanovich,Visual Novel Genre as a Method of the Sociability Development,2021,007-343-699-552-262,10.17759/psylaw.2021110414,1
Yu Takhir; Alina Dikusarova,The impact of the facilitator's change response styles on the effectiveness of teamwork in a virtual environment,2021,007-365-882-585-932,10.18413/2313-8971-2021-7-4-0-6,1
S V Budykin;Dvoryanchikov;Inna Bovina,Информационная безопасность детей и подростков в понимании родителей и учителей (Часть 2. Результаты эмпирического исследования),2016,007-384-377-558-259,10.17759/psylaw.2016060104,9
A A Margolis; null Safronova; A A Drobyazko;L S Kuravsky; I A Golovanova; D A Pominov,Electronic Portfolio as a Mean of Reflection Formation for Students Learning,2021,007-667-307-002-423,10.17759/psyedu.2021130201,4
Н В Михалкин; А Н Аверюшкин,Философский взгляд на язык как средство и способ реализации,2019,007-718-402-760-326,10.17759/langt.2019060304,2
T V Ermolova; Aleksandr V. Litvinov; N V Savitskaya; O A Krukovskaya,Contemporary realities of communication ethics in the educational space,2021,007-785-961-002-994,10.17759/jmfp.2021100301,3
A V Leybina; G A Shukuryan,Ways to enhance the effectiveness of online education,2020,007-795-534-444-930,10.17759/jmfp.2020090302,6
Е Г Иванова; А.А. Скворцов; Ю.В. Микадзе,Вариативность клинической картины эфферентной моторной аграфии при реализации различных культурных функций письменной речи,2020,007-807-849-214-158,10.17759/cpse.2020090107,2
Y.A. Kochetova; M.V. Klimakova,Psychological State Researches in the Context of the COVID-19 Pandemic,2021,007-944-974-148-170,10.17759/jmfp.2021100105,16
V A Guruzhapov,Promoting Practice-Oriented Training of Primary School Teachers in Bachelor’s Programmes in Educational Psychology,2017,008-045-142-615-423,10.17759/pse.2017220204,3
Dvoryanchikov; С В Будыкин; Е С Авдеев;И Б Бовина,"Professionalism in the work of the Director of the school: features of ordinary representations of groups of principals, teachers and parents",2016,008-130-831-651-848,10.17759/psylaw.2016060301,2
N V Bogacheva; A E Voiskounsky,Computer games and creativity: the positive aspects and negative trends,2017,008-214-304-851-82X,10.17759/jmfp.2017060403,5
А Ю Шеманов,Digital technologies in the context of inclusion,2016,008-277-285-453-743,10.17759/jmfp.2016050307,9
E O Golynchik,Potential of qualitative methods in the modern research of conflict perception,2018,008-319-684-538-94X,10.17759/sps.2018090306,3
V.K. Zaretsky,Vladimir Petrovich Zinchenko – The Keeper Of The Russian Cultural-Historical Psychological Tradition,2017,008-485-091-441-88X,10.17759/cpp.2017250313,0
К.Ю. Телешева; З.И. Сторожева; В. В. Мямлин; А.В. Киренская;Ф С Сафуанов,Психофизиологические корреляты личностных факторов импульсивной агрессивности у лиц с расстройствами личности и у психически здоровых,2020,008-542-687-698-588,10.17759/exppsy.2020130108,1
A.M. Kazmin,Competency-Based Approach in Early Interventions Aimed to Children and Families,2021,008-580-323-566-178,10.17759/cpse.2021100212,1
G.S. Kozhukhar,Social and psychological phenomena and factors associated with body modifications in adolescents and young people,2020,008-646-769-714-349,10.17759/jmfp.2020090405,0
A. A. Nikolaeva; Y. Y. Kazachkina,РЕОРГАНИЗАЦИЯ В СФЕРЕ ОБРАЗОВАНИЯ И ПЕДАГОГИЧЕСКИЕ КОНФЛИКТЫ,2018,008-671-958-645-228,10.21777/2500-2112-2018-3-70-75,4
A E Voiskounsky,The Internet as a space of knowledge: psychological aspects of hypertext structures,2017,008-722-065-723-257,10.17759/jmfp.2017060401,12
O E Khukhlaev,Integrative Socio-Psychological Model for Assessment and Forecasting the Effectiveness of Intercultural Interaction,2020,009-023-087-017-306,10.17759/sps.2020110403,2
А В Дегтярев; Д И Дегтярева,Связь психологических границ личности с эмоциональным интеллектом и самоотношением в юношеском возрасте,2018,009-147-572-831-891,10.17759/psylaw.2018080104,1
I.A. Kovalchuk; L.N. Kostina; G.S. Karpova; S.N. Chudakova; A.S. Dushkin,Development of Intellectual and Personality Potential of the Staff of the Federal Penitentiary Service at the Initial Stage of their Professional Development,2021,009-252-939-428-631,10.17759/psylaw.2021110107,2
A.B. Kholmogorova; S V Volikova; M.G. Sorokova,Standardization of the test «Family Emotional Communication»,2016,010-067-681-314-872,10.17759/cpp.2016240405,8
Н В Аникеева; И А Паршутин,"Исследование волевой сферы личности курсантов, обучающихся в образовательных организациях МВД России открытого и закрытого типов",2018,010-106-424-654-883,10.17759/psylaw.2018080413,6
И А Хватов; А Ю Соколов; А Н Харитонов,A comparative analysis of perception of the physical characteristics of body in snakes lampropeltis triangulum cambell and elaphe radiata,2017,010-145-344-497-015,10.17759/exppsy.2017100309,1
Д П Борисова;Dvoryanchikov,Взаимосвязь проявления синдрома эмоционального «выгорания» и отклоняющегося поведения у сотрудников УИС,2019,010-316-379-361-71X,10.17759/psylaw.2019090203,4
F.E. Vasilyuk,Spiritual Coping and its Types,2014,010-365-062-957-428,10.17759/cpp.2014220507,5
Irina N. Timoshina,REPRESENTATIONS OF HIGH SCHOOL STUDENTSABOUT HIGH SOCIAL STATUS IN SOCIETY,2017,010-392-483-660-781,10.18384/2310-7235-2017-2-72-79,0
I.N. Galasyuk;Olga V. Mitina,The Interaction of the Parent with the Young Child: Structure and Dynamics of Parental Responsiveness,2020,010-544-907-062-655,10.17759/chp.2020160408,4
Е О Смирнова,Современная детская субкультура,2015,010-670-819-756-128,10.17759/cpp.2015230403,10
I.P. Kabenina,Problems and strategies of assistance to families having children with developmental impairments,2016,010-842-991-571-895,10.17759/jmfp.2016050108,0
В О Старикова; М Г Дебольский; Д С Ошевский,Черты «асоциальной личности» у несовершеннолетних правонарушителей,2017,011-125-681-204-55X,10.17759/psylaw.2017070407,2
Т В Кочетова,"XVI Международная встреча интернационального сообщества психологов дорожного движения (Каунас, 29—30 ноября 2018 г.)",2019,011-141-559-136-741,10.17759/sps.2019100112,0
L S Kuravsky; S L Artemenkov; G A Yuryev; E L Grigorenko,A new approach to computerized adaptive testing,2017,011-188-840-609-625,10.17759/exppsy.2017100303,20
А.А. Панкратова; Е Н Осин,Особенности эмоциональной регуляции у представителей русской и азербайджанской культур,2018,011-196-236-345-053,10.17759/chp.2018140205,3
M I Rozenova; Valentina Ekimova; Alexey Kokurin; A.S. Ognev; O.S. Efimova,Stress and fear in extreme situations,2020,011-239-925-570-384,10.17759/jmfp.2020090110,21
E.M. Shpagina,The integrated nature of the method of psychological portraying in law enforcement,2015,011-453-999-861-501,10.17759/psylaw.2015050406,2
