
"number","max-jobs","poor-price-priority","rich-quality-priority","death-rate","poor-per-step","rich-per-step","residents-per-job","number-of-tests","Time","median_job_distance_rich","median_job_distance_poor"
"2","10","-1","-0.5","4","5","5","100","15","46","5.0990195135927845","5.0990195135927845"
"1","10","-1","-1","4","5","5","100","15","23","8.273769561268558","7.839015427081229"
"4","10","-1","0.5","4","5","5","100","15","0","3.773966031212756","4.045006447109626"
"2","10","-1","-0.5","4","5","5","100","15","47","5.0990195135927845","5.385164807134504"
"4","10","-1","0.5","4","5","5","100","15","1","6.196878179519913","5.888269685783124"
"2","10","-1","-0.5","4","5","5","100","15","48","5.0990195135927845","5.385164807134504"
"4","10","-1","0.5","4","5","5","100","15","2","10.770329614269007","6.708203932499369"
"2","10","-1","-0.5","4","5","5","100","15","49","5.242092160363644","5.049509756796392"
"1","10","-1","-1","4","5","5","100","15","24","8.54400374531753","8.06225774829855"
"2","10","-1","-0.5","4","5","5","100","15","50","5.0990195135927845","5.0990195135927845"
"4","10","-1","0.5","4","5","5","100","15","3","11.65685424949238","8.377260792952907"
"4","10","-1","0.5","4","5","5","100","15","4","12.649110640673518","8.94427190999916"
"5","10","-1","1","4","5","5","100","15","0","4.915999485156859","3.960545364920997"
"4","10","-1","0.5","4","5","5","100","15","5","11.385164807134505","12.205455727822638"
"5","10","-1","1","4","5","5","100","15","1","19.003817780700075","5.345670651219283"
"1","10","-1","-1","4","5","5","100","15","25","8.573164506180078","8.154234499766936"
"4","10","-1","0.5","4","5","5","100","15","6","12","12.041594578792296"
"5","10","-1","1","4","5","5","100","15","2","31.400636936215164","7.810249675906654"
"4","10","-1","0.5","4","5","5","100","15","7","15.033444194749798","11.02268050859363"
"5","10","-1","1","4","5","5","100","15","3","39.572132209693976","12.806248474865697"
"4","10","-1","0.5","4","5","5","100","15","8","11.180339887498949","11.045361017187261"
"5","10","-1","1","4","5","5","100","15","4","37.013511046643494","12.806248474865697"
"4","10","-1","0.5","4","5","5","100","15","9","11.180339887498949","11.3309518948453"
"1","10","-1","-1","4","5","5","100","15","26","8.48528137423857","8.06225774829855"
"5","10","-1","1","4","5","5","100","15","5","28.60020711909457","12.806248474865697"
"4","10","-1","0.5","4","5","5","100","15","10","11.180339887498949","11"
"5","10","-1","1","4","5","5","100","15","6","34.92849839314596","12.806248474865697"
"4","10","-1","0.5","4","5","5","100","15","11","8.828855202590022","9.924428900898052"
"5","10","-1","1","4","5","5","100","15","7","31.453152785840533","11.610967233145622"
"4","10","-1","0.5","4","5","5","100","15","12","9.055385138137417","9.848857801796104"
"5","10","-1","1","4","5","5","100","15","8","40","10.816653826391969"
"4","10","-1","0.5","4","5","5","100","15","13","8.828855202590022","10.1478150704935"
"5","10","-1","1","4","5","5","100","15","9","37.5285481429581","10.998496856945458"
"1","10","-1","-1","4","5","5","100","15","27","8.273769561268558","7.839015427081229"
"4","10","-1","0.5","4","5","5","100","15","14","9.055385138137417","9.848857801796104"
"5","10","-1","1","4","5","5","100","15","10","38.948684188300895","10.816653826391969"
"4","10","-1","0.5","4","5","5","100","15","15","10.319172768048059","9.534201129544496"
"4","10","-1","0.5","4","5","5","100","15","16","10.44030650891055","7.810249675906654"
"4","10","-1","0.5","4","5","5","100","15","17","10.62848016765126","8.623105625617661"
"5","10","-1","1","4","5","5","100","15","11","32.16599275800614","10.62848016765126"
"4","10","-1","0.5","4","5","5","100","15","18","10.44030650891055","9.219544457292887"
"1","10","-1","-1","4","5","5","100","15","28","8.06225774829855","7.615773105863909"
"5","10","-1","1","4","5","5","100","15","12","31.575306807693888","10.04987562112089"
"4","10","-1","0.5","4","5","5","100","15","19","10.5352261608226","8.623105625617661"
"5","10","-1","1","4","5","5","100","15","13","33.96975916992007","10"
"4","10","-1","0.5","4","5","5","100","15","20","10.63014581273465","8.246211251235321"
"1","10","-1","-1","4","5","5","100","15","29","7.245606220104248","6.854101966249685"
"5","10","-1","1","4","5","5","100","15","14","33.734255586866","9"
"4","10","-1","0.5","4","5","5","100","15","21","10.837753414960956","9"
"5","10","-1","1","4","5","5","100","15","15","34.442176042922625","8.772001872658766"
"4","10","-1","0.5","4","5","5","100","15","22","8.94427190999916","6.708203932499369"
"5","10","-1","1","4","5","5","100","15","16","33.734255586866","8.246211251235321"
"4","10","-1","0.5","4","5","5","100","15","23","8.573164506180078","8.395107498276426"
"5","10","-1","1","4","5","5","100","15","17","30.662953820698228","7.385230840398959"
"4","10","-1","0.5","4","5","5","100","15","24","8.48528137423857","7.280109889280518"
"1","10","-1","-1","4","5","5","100","15","30","7.0710678118654755","7"
"5","10","-1","1","4","5","5","100","15","18","33.54101966249684","8.54400374531753"
"4","10","-1","0.5","4","5","5","100","15","25","8.51464255977805","6.516379626418065"
"5","10","-1","1","4","5","5","100","15","19","28.826548781894402","6.708203932499369"
"4","10","-1","0.5","4","5","5","100","15","26","7.810249675906654","6.324555320336759"
"5","10","-1","1","4","5","5","100","15","20","29","6.708203932499369"
"1","10","-1","-1","4","5","5","100","15","31","7.211102550927978","6.854101966249685"
"4","10","-1","0.5","4","5","5","100","15","27","7.713011390885281","6.4031242374328485"
"5","10","-1","1","4","5","5","100","15","21","28.218992771344205","9.137464797715152"
"4","10","-1","0.5","4","5","5","100","15","28","7.810249675906654","6.4031242374328485"
"4","10","-1","0.5","4","5","5","100","15","29","7.447941497572213","6.4031242374328485"
"5","10","-1","1","4","5","5","100","15","22","17.72004514666935","9.055385138137417"
"1","10","-1","-1","4","5","5","100","15","32","7.280109889280518","7.615773105863909"
"5","10","-1","1","4","5","5","100","15","23","18.346855553839813","8.999828524068288"
"4","10","-1","0.5","4","5","5","100","15","30","7.810249675906654","6.4031242374328485"
"5","10","-1","1","4","5","5","100","15","24","20.615528128088304","9.055385138137417"
"5","10","-1","1","4","5","5","100","15","25","20.748070572954703","9.027692569068709"
"1","10","-1","-1","4","5","5","100","15","33","7.671183818789533","7.035533905932738"
"5","10","-1","1","4","5","5","100","15","26","21.18962010041709","9"
"4","10","-1","0.5","4","5","5","100","15","31","7.9362537121026016","6.555664084966109"
"5","10","-1","1","4","5","5","100","15","27","21.365139664477553","8.97213595499958"
