pinch-chance,pinch-time,super-level,step,avg-super-score,avg-normal-score,gap-super-normal,avg-super-score_effect_diff,avg-normal-score_effect_diff
0.1,0,low,11,103.45660256410255,217.56031328283652,-114.10371071873396,16.906602564102563,38.7495024720257
0.1,0,high,10,257.775,182.57177024487382,75.20322975512599,56.175,33.896094569198276
0.1,0,low,10,73.6723717948718,199.6328403670509,-125.9604685721792,14.122371794871796,38.186894421104945
0.1,0,high,10,262.45020361990953,188.3281078452905,74.12209577461897,61.30020361990951,34.652432169614826
0.1,0,low,12,85.23333333333333,223.88043881793874,-138.6471054846055,8.433333333333334,37.78584422334423
0.1,0,high,13,280.9288235294118,208.4594598863949,72.46936364301689,53.67882352941177,35.80180222873721
0.1,0,high,11,285.14785714285716,190.40465535202378,94.74320179083341,66.04785714285715,33.88213282950126
0.1,0,low,12,90.35034188034189,223.08735479900344,-132.7370129186616,18.550341880341882,38.028796240444855
0.1,0,high,11,266.83160714285714,190.47119326314373,76.36041387971346,55.231607142857136,33.86758965954013
0.1,0,high,10,233.36396471949107,187.8683103346416,45.495654384849445,39.71396471949104,34.985427451758724
0.1,0,low,11,76.1913888888889,208.05625119769857,-131.86486230880962,13.641388888888889,37.78147642292378
0.1,0,low,12,106.93438228438227,226.6390847206637,-119.70470243628144,16.384382284382284,39.179625261204194
0.1,0,high,11,266.54,195.33598829980403,71.20401170019593,55.39,33.732384696200484
0.1,0,low,13,90.61666666666666,233.71473193191457,-143.09806526524795,8.816666666666666,38.07058778777045
0.1,0,high,14,290.3995378151261,215.30741777119485,75.09212004393117,53.14953781512604,34.54165200542908
0.1,0,high,12,290.28000000000003,198.8587135409117,91.42128645908835,61.17999999999999,34.22808291028107
0.1,0,low,13,94.19200854700854,234.31374329315506,-140.1217347461465,18.392008547008547,39.4353649147767
0.1,0,high,12,274.74833333333333,198.39697007460163,76.35136325873174,53.14833333333333,33.86543854307011
0.1,0,low,13,115.98843795093794,235.9857109636521,-119.99727301271412,16.43843795093795,39.60733258527377
0.1,0,high,11,246.4633333333333,196.6607006480459,49.802632685287534,42.813333333333325,34.858898846244045
0.1,0,low,12,80.51519841269841,218.150954158191,-137.63575574549247,14.965198412698413,38.9572604644973
0.1,0,high,12,278.2142712550607,204.3138237755111,73.90044747954957,57.064271255060724,34.15166161334892
0.1,0,low,14,95.55,242.50191956008513,-146.95191956008512,10.75,37.3082258663915
0.1,0,high,15,299.805,223.37163187821093,76.43336812178924,52.55499999999999,34.587848094427045
0.1,0,high,13,304.3566666666666,208.1996966457492,96.15697002091738,65.25666666666666,34.28978673583937
0.1,0,low,14,97.94034188034188,242.58008846244135,-144.6397465820994,18.14034188034188,39.32333170568466
0.1,0,high,12,252.74071428571432,204.98208329129372,47.758630994420514,39.090714285714284,34.891993201203746
0.1,0,low,13,82.44329365079366,227.12192433674633,-144.67863068595275,13.893293650793652,39.189491904313876
0.1,0,high,13,280.9265384615384,208.7827317900847,72.14380667145375,49.32653846153847,33.71065971801266
0.1,0,low,14,120.09623015873017,244.94781584650005,-124.85158568776994,16.54623015873016,39.92078881947304
0.1,0,high,13,290.55454545454546,212.54511341128986,78.00943204325563,59.40454545454545,34.45502332119979
0.1,0,high,14,308.68148325358857,217.11529783306085,91.56618542052749,59.58148325358851,34.01619873396188
0.1,0,low,15,99.975,252.78567533788123,-152.81067533788118,10.175,38.04243209463797
0.1,0,high,16,313.31,232.0306737600855,81.27932623991455,56.05999999999999,33.69734042675219
0.1,0,low,15,100.11010378510379,254.06758426294027,-153.95748047783655,17.310103785103784,38.918935614291655
0.1,0,high,14,297.0346761133603,217.12188716333443,79.91278895002577,55.43467611336032,33.220986262433634
0.1,0,low,15,127.15138888888889,252.6624796874796,-125.51109079859073,15.601388888888888,39.347164372164386
0.1,0,low,14,88.54227272727272,235.2014999560666,-146.6592272287938,16.992272727272727,38.62041887498543
0.1,0,high,13,264.31965919701213,213.6370671935688,50.68259200344335,40.66965919701214,35.438868995370534
0.1,0,high,14,295.77315789473687,220.35736448960134,75.41579340513545,54.62315789473685,33.528535660772505
0.1,0,high,15,324.45575757575756,224.9449491949492,99.51080838080838,65.35575757575756,33.6476518976519
0.1,0,high,17,318.815,240.74017671517672,78.07482328482325,51.56500000000001,33.397834372834375
0.1,0,low,16,104.20714285714284,262.5054684995862,-158.2983256424434,11.407142857142858,37.58204507616271
0.1,0,high,15,308.04404761904755,224.27014513779213,83.77390248125533,56.444047619047616,32.261136128783185
0.1,0,low,16,105.83589743589744,262.74275399523077,-156.90685655933328,18.035897435897436,39.12563687811366
0.1,0,low,15,88.12224789915965,243.87246878717463,-155.75022088801498,13.572247899159663,38.19228860699448
